,community,text,label
34,disabled,"Discrimination against disabled people by society is one of the main problems that undermine the progress of democratic practice in the country. It is always the dream of people with disabilities that, once the disability law is approved, their position in society will be positively influenced.",1
35,disabled,"Under the slogan 'March for Our Lives', the protesters included children, teenagers, pregnant women, elderly people, and did not exclude disabled individuals who were moving in wheelchairs.",1
36,women,"I believe that another main theme is the power of human resilience, of rising from the ashes of ruin and being willing, like a truly young person, to raise their voice and seek justice. The bravery of these young women has left us astonished.",1
37,refugee,The hospitals are filling up as the Rohingya refugees shiver during the winter.,1
38,women,She said that these women deserve the same kind of choice that any woman anywhere in the world should have.,1
39,poor-families,"VARANASI: After more than six decades of independence, the Muslim community may still be lagging behind in the field of education. However, several Muslim women and girls, especially those from poor families, are stepping forward to dissipate the darkness of ignorance and bring a new dawn for the next generation of the community. They are making the community proud by making sincere efforts to promote literacy, especially among other girls and boys.",1
40,hopeless,"What we have observed instead is an educational arms race that is constantly escalating, in which the poorest children have been desperately ill-equipped to fight. The signs are all around us: the thriving billion-pound industry of private tutors paid to improve students' grades; the tiger parents with sharp elbows who stop at nothing to get their children into the best schools, and the stressed-out students trying to navigate a complex and often bewildering university admissions system.",1
41,women,"""I don't believe in abortion, I believe it is wicked. I would tell women to have their child and that God will provide,"" Julene said.",1
42,in-need,"The ten wheelchairs were sought for children identified by the host, the Salvation Army, to allow them to move, the coordinator pointed out. The charity organization Baps would go anywhere to donate, as long as there are people in need of the donations without any discrimination related to religion, color, origin, or tribe, it stated.",1
43,in-need,"""As Briggs & Stratton celebrates its 110th anniversary, what better way to reaffirm our commitment to the Milwaukee community than by providing 1 million dollars to children in need of pediatric care?"" said Rick Carpenter, Vice President of Corporate Marketing. ""We are fortunate to have one of the top pediatric hospitals in the country right here in our community, and Briggs & Stratton firmly supports their commitment to extend their support in the future.""",1
44,hopeless,Yes... because THERE IS NO HOPE where he lives. India is a third world country. Don't be fooled by call centers in big cities. The majority of the country is rural and most of the population is illiterate and hopeless.,1
45,refugee,"For refugees who plead for a new life, the Christmas spirit is a luxury that most of them cannot afford to wait for under the shadow of long-lasting conflicts.",1
46,homeless,"For 12 years, Ruby* lived a life of abuse, drugs, homelessness, and prostitution. But two months ago, she joined the lucky few who managed to escape the horrors of prostitution.",1
47,immigrant,"In an unmarked brick building, a few blocks from the Mexican border, immigrant parents held folders with birth certificates and asylum documents, and sat on folding chairs, waiting to use a single shared landline telephone.",1
48,refugee,"Smyth told HKFP: ""The biggest challenge is the no work policy. I believe that refugees who come here, or asylum seekers, are unable to work and have children here, and their children become stateless. That is truly the cause of a lot of stress in the community.""",1
49,homeless,"Through Gawad Kalinga, Meloto has proven to be a key player in the housing industry, helping provide decent homes and sustainable livelihoods to marginalized and homeless Filipinos.",1
50,refugee,An Egyptian billionaire offers to buy an island in the Mediterranean for refugees.,1
51,in-need,"The main charity organization of Pageants SA is the Dignity Dreams project, where reusable and washable sanitary towels are delivered to school girls in need of them.",1
52,hopeless,"The residents of Poranu Kotuwa, who were deprived of healthy and independent lives in normal weather conditions, are facing a truly hopeless future.",1
53,in-need,"Helen Schafer decided to help a needy family. Instead of sending gifts to my clients, I sent them a letter effectively saying, ""This is what we are going to do because it feels much more meaningful.""",1
54,poor-families,"""Every family that meets the requirements of the program must be covered. Every child from poor families must be enrolled and kept in school, in addition to receiving health and nutrition assistance,"" said Romualdez.",1
55,in-need,"While many Muslims can count on their blessings, they must not forget the fate of those who are poor and in need of help.",1
56,in-need,"This year, in recognition of their ongoing dedication and charitable sacrifice to help all those in need through mutual aid, true camaraderie, and strong memory over the past 90 years, the MOTHs of the Better 'Ole Shellhole will proudly stand at attention as the Guard of Honor and sentinels during the duration of this year's Crossroads Remembrance Ceremony.",1
57,hopeless,"Despite having excellent academic qualifications, Rani is rejected in countless interviews for a teaching position. After five years, she finally gets a job at St Notkers, but there's a problem. She is assigned the infamous 9F class, the ""hopeless"" students from the nearby low-income neighborhoods who attend school by virtue of the Right to Education, but are not accepted by either the teachers or the students.",1
58,poor-families,"Aklima Sultana, a teacher at the institution, told The Daily Star: ""I feel very proud when I think that I teach disadvantaged students who come from very poor families.""",1
59,hopeless,"But the most surprising thing about Mr. Trump's response is the bleak picture he paints of life in cities and the lives of African Americans: poverty, gun violence, poor education, and despair.",1
60,homeless,"After the controversy in the Vatican, McDonald's helps feed the homeless in Rome.",1
61,homeless,"Pope Francis has made the defense of the poor and needy a cornerstone of his papacy, establishing shower cabins for homeless people near the Vatican, offering meals, and even providing a VIP-style visit to the Sistine Chapel.",1
62,disabled,"""Most of the time, you will hear people advocating for the inclusion of women in government because they are vulnerable. What most people do not recognize, however, is that disabled individuals are even more vulnerable than women and need to be supported,"" he added.",1
63,poor-families,"""We want to provide these bicycles to Vietnamese students from poor families in remote areas so they can continue their studies,"" said Michael Shuman, a former American marine.",1
64,women,"The case of Kalpana Chakma demonstrates how a community is subjected through attacks on women and how those responsible for it go unpunished. This woman showed exceptional courage, a lion-hearted spirit that spoke up in defense of the violated until she herself was violently silenced.",1
65,poor-families,Large expanses of South African land are owned by the government and are either unused or underutilized. The government can easily transfer a significant portion of these lands to deserving poor families and communities.,1
66,homeless,"Good and bad fashion, like pants tied so low that they show the buttocks. Or dresses and skirts so short that if a girl bends down to pick something up from a shelf or closet, her intimate garments are exposed for everyone to see. Extravagant lifestyles for the rich and famous, where they spend millions of dollars on clothes, luxury vehicles on land and sea, and more, while their fellow Americans sink into poverty, unemployed, hungry, and homeless.",1
67,homeless,"The dodgeballs flew fast and strong at Morningside College today during the fifth Annual Attack of the Assassins Dodgeball Tournament to raise funds. The double elimination tournament featured the participation of 18 teams this year to raise funds for the Siouxland Community Action Agency's Welcome Home Project. The project aims to get homeless families off the streets of Siouxland and, with the help of a family development specialist, help them change their lives.",1
68,in-need,"School for the blind, deaf, and mute, Isulo, Anambra state, which has a series of beautiful structures, is one of the schools that struggle against the lack of facilities to meet the special educational needs of children. According to Felix Nwaochi, General President of the Isulo Community, the school seriously needs water supply, as many of the blind students have to search for water from a stream to survive in the school.",1
69,homeless,"""Instead of blame, let us join our hands in collective work. Let's feed the hungry, give shelter to the homeless, provide employment to those who don't have it, and bring medicine to the sick,"" said Uhuru.",1
70,hopeless,"That foundation became an oasis for the residents of Grant's Pen, and as they embraced our motto, 'Doing what love requires', political tensions decreased and the hopeless youth were able to receive skills training while the foundation partnered with HEART Trust/NTA to make them employable.",1
71,hopeless,"The sound of excavators getting closer and closer, the presence of bodies wrapped in white Eritrean (suria) scarves praying beside me, the juxtaposition of silent pleas for hope and peace alongside the violence of destruction and hopelessness were too much for words that tried and failed to describe the scene. Witnessing turned into being a witness to tears.",1
72,in-need,"The world today needs this: the joy that arises from encountering Christ in a life of personal and communal prayer, in daily listening to the Word, in encountering brothers and sisters, in a happy fraternal life in the community, including vulnerability, and in embracing the flesh of Christ in the poor. ""Prophets of a joy that is born from feeling loved and, therefore, forgiven,"" he said on May 22nd.",1
73,poor-families,"With the help of Shoal's Livelihood Program through various NGOs, over 100,000 poor families living in the areas of these districts have been able to overcome poverty since 2004.",1
74,vulnerable,"The actions of the RDA, although causing a stir in Colombo society, are symptomatic of a much deeper national problem that mainly affects poor and vulnerable citizens. Unfortunately, the hardships of the poor are rarely heard. Without knowledge of laws and their rights, they do not have the means to hire lawyers and spend years in court seeking fair compensation.",1
75,in-need,"""H.E.R.O. provides an opportunity for employees to lend a hand and help those in need,"" shares Daisy delos Angeles, leader of the treasury operations team at CEMEX in Asia. She also believes that employee volunteering, like what they do, is indicative of the unified mission between the employee and the company to demonstrate concern for society.",1
76,disabled,"The figure of 19th century misfortune is conjured from the smoky darkness of industrial Leicester as a young boy whose drunken father begs him to be in the world but not of it, to follow the rules and pretend to be like everyone else. Our Elephant Man does not carry the growths and deformities of his historical predecessor, but Daniel Monks has a physical disability, which gives much more gravity to the story. He travels from under the shelter of his mother, to the hostile streets, to the spectacle of monsters, until even the troublemaker rejects him because ""he makes isolation an art.""",1
77,homeless,"But displaced people were not left without homes by developers and government agencies; displacement and resettlement in Singapore have been carried out with tremendous care, and it is never initiated unless replacement housing for the affected individuals is ready.",1
78,vulnerable,"The American people, as we always have been, are willing to partner with African countries to ensure that their most vulnerable populations receive life-saving assistance.",1
79,in-need,The candidate promises to do good things and help those in need.,1
80,poor-families,"This year, the shoe boxes from TEAM HOPE Ireland will go to street children, orphans, children in hospitals, poor families, war victims, and other situations of need in Eastern Europe and the former Soviet Union, for example, Romania, Kosovo, Albania, and Africa, for example, Cameroon, Congo, Rwanda.",1
81,hopeless,"Approximately at the same time, she gave an interview to the Invisible People project, which documents the lives of homeless people; she appears hopeless, resigned to her fate, and with an uncertain future.",1
82,homeless,"She said: ""I saw this need when I was helping with the mobile kitchen of the Eagles Wings Foundation in Dundee. Toiletries and other essential items make a big difference for homeless people or those who don't have a home of their own.""",1
83,homeless,"Defend your dignity as human beings and children of God. Do not allow the rich and powerful, who are rich because you are poor, to divide you. They have light and water in their protected homes not because they are Muslim, Christian, or belong to a particular tribe, but because they are rich. You are poor, homeless, without a path, without water, and your children are sick and uneducated not because you are Christian, Muslim, or belong to one tribe or another, but simply because you are poor. You and your children vote, but their children do not vote because they are abroad. Your children beg and die in the streets while their children are abroad fraternizing with those they call unbelievers. They give you a false religion that enslaves you, while their own children are given the religion of education that will free them and make them your rulers.",1
84,hopeless,"A cruel and violent political strategy
Asylum seekers on Manus Island and Nauru have been exiled, displaced, crushed, and left without hope.",1
85,poor-families,"In South Africa, education is a right and not a privilege, but an unfavorable environment can unconsciously infringe on this right. It is an open secret that poverty is abundant in our country, therefore, those who have enough privileges should help those who do not. It may sound exaggerated, but there are many girls who come from poor families who cannot go to school due to the lack of sanitary towels.",1
86,vulnerable,"If these problems are not addressed, there is a possibility that another reporter will come back in another 20 years wondering how it is possible that vulnerable children continue to be cursed with hunger and a horrible early death.",1
87,homeless,"In September, Major Nottle set off on foot from Melbourne to Canberra to plead for a national solution to the problem of homelessness.",1
88,in-need,"The Minister of Housing of British Columbia, Selina Robinson, said that the project represents hope for many women and needy families.",1
89,immigrant,"An immigrant in a developed country lives in two worlds. In metropolitan societies, they encounter a different way of seeing things. They develop new ideas, gain new confidence. In the new country, there are opportunities, they become accustomed to a good standard of living. However, they are a foreigner, not fully assimilated, their ethnicity and culture separate them from the mainstream. They long for familiarity, their roots. The idea of returning to their original country comes to them.",1
90,homeless,"Poverty. Forty-seven million people rely on food stamps. Thirty-eight million households have no savings for retirement. Approximately 1.2 million children are homeless. It is estimated that 58,000 veterans live on the streets every night. These facts are a national disgrace. The vast and persistent poverty in America is undermining our strength. What kind of ""superpower"" allows a million children to fend for themselves on the streets?",1
91,women,"Jenny Neal, Regional Director of the Grandmothers' Defense Network for Saskatchewan and Manitoba, displays her orange scarf at the Prairie Wind sculpture in River Landing, on Thursday, November 24, 2016, to promote the 16 days of orange and raise awareness about violence against women. Greg Pender / The StarPhoenix",1
92,vulnerable,"In her tweet, Reham highlighted how a 'true leader' should protect vulnerable communities.",1
93,homeless,"The Cape Argus has launched a new collaborative editorial initiative called #TheDignityProject, a daily 15-part series about the homeless people of Cape Town. Homeless person Danny Oosthuizen will write a daily column throughout the duration of the project. Read the fourth entry in Danny's Diary below...",1
94,poor-families,Mrs. Gachagua attributed her kind gesture to a perpetual and disturbing vision of discouraged children from poor families staring at children from wealthy homes while they have fun during the holiday seasons.,1
95,hopeless,"It goes without saying that, regardless of the level of disability a person has, they face a persistent stigma and social exclusion, in addition to their ongoing physical or mental challenges. If life is difficult for adults with disabilities, we can only imagine how it can be for children. Their parents become tired, frustrated, and hopeless. Most of them lack economic and other resources to cope with the situation. It is almost inconceivable how burdened and helpless they feel, and therefore, they resort to resigned acceptance of their fate.",1
96,disabled,"""Each capable person today can become disabled tomorrow. Therefore, we must treat our brothers and sisters with physical disabilities with dignity and respect,"" he warned.",1
97,vulnerable,"""Someone has to be there to take care,"" he says. ""I believe that my passion for healthcare policy comes from these vulnerable people who are forgotten. This whole experience has been more exhilarating than I ever thought.""",1
98,homeless,"Why is electoral participation so low in wealthy countries like America, whose GDP may be high but still has a large majority of homeless and poor people? Democracy is not the solution for everything and the majority of countries still do not fully practice democracy. Poor countries need to show that they are democratic in order to participate in globalization and modernization, and to ensure that their poor citizens are part of the electorate, who in many cases would simply prefer to work in their fields, as politicians have never done much for them.",1
99,in-need,Accountability suggests that the people who are in dire need of our help and support could have done a little more to help themselves.,1
100,vulnerable,"Speaking at the elaborate event, the first of its kind in Badagry, the president of the Association, Comrade Monday Denagan Honfovu, who also serves as the president of the Badagry Community Youth Association (BCYA), said that the idea of helping vulnerable women arose from the saying ""if you empower a woman, you empower the nation.""",1
101,poor-families,"""We all make mistakes, nobody is perfect. The execution is very poor, nobody likes it. We feel a lot of pity for these poor, poor families.""",1
102,in-need,"He said that his decision to help the needy did not benefit him personally, but rather that such help was being provided by all the employees of the Group... in one way or another, we have all been helping the needy.",1
103,migrant,"Mr. Mathur, who was born in India, arrived in Canada in the early seventies when he was eight years old. His immigrant working parents always inspired him to be resilient, as they bravely faced the difficulties of integrating into society, finding work, and putting food on the table. He describes his upbringing as something spiritual, first in downtown Toronto and then in Bramalea, northwest of Toronto, in a working-class area full of young families where ""it seemed like we were all equal,"" with children focused on academics and sports.",1
104,homeless,Mother of three children on the brink of becoming homeless again,1
105,in-need,"""Many people need better roads, drinking water, skills training, education, and healthcare facilities that need to be developed. Everyone wants it to happen all at once, and you have to explain to them that it is a process... and it won't happen overnight. We have achieved a lot and I hope that we can fully convey what the vision is for the district and that people join exactly what we have been trying to do,"" he said.",1
106,disabled,"Now everyone wonders how she takes care of herself, living with her disabled daughter after her husband passed away over 20 years ago.",1
107,in-need,"But despite the diminishing hope, Yemenis refuse to abandon those who need help.",1
108,in-need,"VATICAN CITY: Suffering and empathizing with others, approaching them to help restore their dignity: this is the attitude that Christians must have towards those who suffer and are in need, said Pope Francis during the Mass this morning at Casa Santa Marta, commenting on today's Gospel according to Luke, dedicated to the story of the resurrection of the son of Nain by Christ.",1
109,refugee,"""Those (Rohingyas) who somehow entered the country ignoring border regulations, we have decided to give them refuge for humanitarian reasons,"" he said, adding that there are also other refugees receiving assistance in Bangladesh.",1
110,poor-families,Indian children from poor families never have the opportunity to use a computer. They also don't have the chance to speak English. Most of their English teachers also struggle to speak it well because they were poorly taught as well.,1
111,vulnerable,"Throughout the years, I have worked very hard to bring awareness to this national shame. Our most vulnerable citizens in long-term care facilities have no voice, and FATE has been able to fill that void by speaking up loudly and clearly for them and their families about the abuses in these long-term care facilities, particularly the overmedication of patients in those places.",1
112,in-need,"The actor, who will be seen later this month in Avengers: Infinity War, found himself called to make a young fan's day. On Wednesday, he spent time with Jacob Monday, who is a 16-year-old boy from northern New York with terminal cancer. The teenager, who has a rare form of bone cancer, has a wish list to fulfill and that included meeting his favorite movie star.",1
113,refugee,"The spokesperson for Foreign Affairs, Charles Jose, said in a press conference on Tuesday that the Philippines, as a signatory of the 1951 United Nations Convention on the Status of Refugees, is committed to providing support to war refugees.",1
114,homeless,"""If a single human being is left homeless and forced to live on the streets in any country, it is a shame for the people of that country,"" he adds.",1
115,hopeless,"Cecil Dudley Mends, who is the CEO of Duddleys Expressions, a modern and advanced haute couture house in Ghana that primarily focuses on fashion shows in Africa and Europe, not only won the Fashion Designer of the Year award due to his immense progress in Ghanaian fashion, but he was also honored because he provided hope to desperate people by training over 1,000 individuals for free, who can now put food on their tables.",1
116,hopeless,"Yemen, Syria, Iraq, and Libya are hopeless (anarchy) states governed by militias; these are states without hope, hopeless. How can we save these states? Even the United States army could not bring stability after 10 years in Iraq.",1
117,vulnerable,"An urgently needed, publicly funded large-scale energy efficiency program is required to create jobs, reduce emissions, and save the lives of some of the most vulnerable people in the United Kingdom.",1
118,hopeless,"When the prophet Elijah the Tishbite was so frustrated and hopeless that he contemplated suicide and asked God to kill him, the first thing God did was to meet his immediate need by giving him food. He gave him food once again until he ate and his heart was calmed, and he no longer thought about suicide.",1
119,poor-families,"This raises the question about the network of religious education in ""madrassas"", where children from poor families are indoctrinated to carry out suicide attacks. Several suicide bombers in recent months have been teenagers forced to embrace the bomb instead of the book. However, so far there has been no global outrage on this issue. Obstacles in schools.",1
120,homeless,"Thousands of homeless Iranians huddled against the cold on Monday night, a day after at least 450 people died in Iran's deadliest earthquake in over a decade, according to Reuters citing state television.",1
121,disabled,"By learning a skill and then passing it on to others, Otoyo is not only changing the narrative around disabled people, but his weaving work has also helped him overcome the trauma of a decade fighting under one of the world's most brutal rebel groups.",1
122,homeless,"We work as if everything depends on us and pray as if everything depends on God. But He does more than we could ever do. We plead, we build homes for the poor, the homeless, and the helpless. We build our own monasteries. We build our own beds and chairs. We cook, clean, make our own clothes, and cut each other's hair.",1
123,disabled,"When we talk about freedom, it is essential to remember the brave war heroes who fought to save our country from terrorism by the L.T.T.E. for 30 years. They sacrificed their lives. They lost their limbs. They became disabled and their families suffered greatly. The economy was ruined. Around 100,000 people, including civilians, lost their lives. Thousands became disabled. Were the people who lost their lives in the 30 years of war losers? Are the ones who saved their lives winners? I believe that we, who saved our lives from that tragedy, must remember the lessons we learned.",1
124,hopeless,The group believes that only a Nana Addo/Bawumia administration can stop the depth of despair that the youth has fallen into and restore the dreams of an inclusive and prosperous nation.,1
125,hopeless,"He was born with HIV. He is healthy, but when Sasha met him, working as a volunteer in an orphanage, he weighed half of what a 3 and a half-year-old child should weigh, and his hair was falling out. The only word he knew was the Russian word for ""don't do that"". The nurses told Sasha not to touch him. Not because of the HIV, but because they were worried about love. If he received any love, he would want more and there would be no more available. He was leaving the room and now he was going to be sent to another, even more hopeless one, where he would be with lost cases of all ages. And there he would stay, as long as he remained there.",1
126,in-need,"Unfortunately, these reach limited numbers because budgets have to be restricted out of necessity. Within our society, on our birthdays and in memory of our deceased relatives, we continue the tradition of giving alms in the form of meals to individuals in residential homes and donating gifts to individuals. Both the state and society see them as in need of ""social services,"" synonymous with ""charity."" This has been the situation in Sri Lanka for many decades. People with disabilities are beneficiaries of goodwill and charity.",1
127,homeless,"Keva Davis, from the neighboring community of Red Ground, said that many of the less fortunate and homeless in Negril have been beneficiaries of the program, and for this she is very grateful.",1
128,vulnerable,"The article demonstrates why consultations with interest groups, which include various informed actors from businesses, civil society, labor organizations, academia, and others, including those who can give voice to the most vulnerable, are important. It describes the various mechanisms and processes that countries like Korea, Japan, the United States, and others have introduced to ensure that the interests of interest groups have contributed to creating or balancing the broader goals of trade negotiators.",1
129,vulnerable,"It is worth noting that 23 children from vulnerable families in the community benefit from scholarships granted by our organization, including 3 in preschool and 20 in the SOS primary school.",1
130,migrant,"When politicians discuss immigration, they generally do so in grandiose terms. Jeb Bush claims that ""immigrants create an engine of economic prosperity."" Politicians always talk about importing the best and brightest from abroad. But the streets of New York capture the harsh reality of illegal immigration, which creates islands of illegality where people can be mistreated with few consequences.",1
131,women,"""I am very excited to see the monetary results of all these companies donating to the cooperative. As I am also part of 16xOSU, I have an additional interest in where the money will be used and the difference it will make for women in Uganda,"" said Triplett.",1
132,in-need,"For now, families are staying with friends and relatives. During the day, they clean up the debris left by the fire, hoping that someone will come to their rescue. They received emergency aid packages, but still need clothes, beds, blankets, and kitchen appliances.",1
133,hopeless,"In the last four decades, tribal society has gone through the most tortuous, bloody, destructive, divisive, and increasingly brutalizing phases. The sons and daughters of these dark times saw nothing but barbarities, hopelessness, and powerlessness. The children of jihad in the war zone had no chance of expression. Upon seeing a very handsome young man, aspiring model, with fascinating attire and seductive photo shoots, being cold-bloodedly murdered, they simply couldn't bear it anymore and gathered in public spaces with a white flag in their hands. Suddenly, we see a ""spring"" of Pashtun civil rights emerging from the death fields of FATA.",1
134,refugee,"It's lunchtime and we are sitting on the shattered remains of the house that he is painting today. The floor is covered in pieces of concrete and all the windows are destroyed. Images of those bombed houses in Aleppo come to mind. But this building is being renovated, so that the owner can rent it out to refugee families who can afford something more than a tent. Ibrahim's family is not one of those families.",1
135,women,"Cold, wet, and windy, our teams were out on the streets until the early hours of the morning, feeding homeless men and women. #ICHH #Retweet4Support",1
136,migrant,"Current capitalism does not understand the value of unity, because it has forgotten the social nature of the economy, the company, life, ties, and patents. But perhaps our society does not understand unity because it does not see it fight enough in places where ""not yet"" rights exist: in existential suburbs, among discarded workers, among immigrants, the poor who are under the city walls; Or simply does not understand why corruption has sometimes entered the hearts of some union members. Let's not allow this to be blocked.",1
137,in-need,"In addition to offering mega deals to its customers on March 23rd, Daraz.pk wants to celebrate Pakistan Day with those who deserve it but cannot enjoy the same comforts. The online shopping portal has taken the commitment to give back on this Pakistan Day and has launched the campaign 'Buy One, Donate One'. With this campaign, Daraz has pledged to help a needy Pakistani for every item sold on Pakistan Day sale. Daraz wishes to join its customers and other companies in working together to spread smiles and promote positivity.",1
